nome;opniaoCapitao;opCaptiaoSimplificada;pespectivaCapitao;pescCapitaoSimplicada
ELLEN;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Compreensíveis;Uma peça fundamental que mantém o sistema violento funcionando.;Peça Fundamental
EVELLYN;Justificáveis, pois os fins (combater o crime) justificam os meios.;Justificáveis;O único herói capaz de enfrentar o sistema de igual para igual.;Herói
GUSTAVO;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Compreensíveis;O único herói capaz de enfrentar o sistema de igual para igual.;Herói
BRUNO;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Compreensíveis;O único herói capaz de enfrentar o sistema de igual para igual.;Herói
ANA;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Inaceitáveis;Uma peça fundamental que mantém o sistema violento funcionando.;Peça Fundamental
ISABELE;Justificáveis, pois os fins (combater o crime) justificam os meios.;Justificáveis;O único herói capaz de enfrentar o sistema de igual para igual.;Herói
RICK;Justificáveis, pois os fins (combater o crime) justificam os meios.;Justificáveis;O único herói capaz de enfrentar o sistema de igual para igual.;Herói
EDUARDA;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Inaceitáveis;Uma vítima do sistema, forçado a ser violento para sobreviver.;Vítima
ELAINE;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Compreensíveis;O único herói capaz de enfrentar o sistema de igual para igual.;Herói
ENZO;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Compreensíveis;Nenhuma das anteriores.;Nenhuma
KEVIN;Justificáveis, pois os fins (combater o crime) justificam os meios.;Justificáveis;Uma peça fundamental que mantém o sistema violento funcionando.;Peça Fundamental
LETÍCIA;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Inaceitáveis;Nenhuma das anteriores.;Nenhuma
GABRIEL;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Inaceitáveis;Uma peça fundamental que mantém o sistema violento funcionando.;Peça Fundamental
MARIANA;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Inaceitáveis;Nenhuma das anteriores.;Nenhuma
JHONATHAN;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Compreensíveis;Uma vítima do sistema, forçado a ser violento para sobreviver.;Vítima
BRIAN;Justificáveis, pois os fins (combater o crime) justificam os meios.;Justificáveis;O único herói capaz de enfrentar o sistema de igual para igual.;Herói
ANA;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Inaceitáveis;Nenhuma das anteriores.;Nenhuma
BRUNO;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Inaceitáveis;Uma vítima do sistema, forçado a ser violento para sobreviver.;Vítima
SOFIA;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Inaceitáveis;Nenhuma das anteriores.;Nenhuma
MARIANA;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Compreensíveis;Uma peça fundamental que mantém o sistema violento funcionando.;Peça Fundamental
WILLIAM;Justificáveis, pois os fins (combater o crime) justificam os meios.;Justificáveis;Uma vítima do sistema, forçado a ser violento para sobreviver.;Vítima
BÁRBARA;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Compreensíveis;Uma vítima do sistema, forçado a ser violento para sobreviver.;Vítima
CLEIDIR;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Compreensíveis;Uma vítima do sistema, forçado a ser violento para sobreviver.;Vítima
