fonte,plataforma,data,url_ref,texto,n_palavras,nota_usuario,likes,sentimento,confianca,sentimento_num,exportado_em
YouTube,Vídeo,2025-10-30,https://youtube.com/watch?v=uZBiNJQxtGw,Buen momento para ver está película,6,,26.0,positivo,0.587,1,2026-03-25 20:30
YouTube,Vídeo,2023-02-21,https://youtube.com/watch?v=uZBiNJQxtGw,"Esse filme é foda demais, voltou para o catálogo da Netflix e já está em top10 filmes assistidos.",18,,88.0,positivo,0.675,1,2026-03-25 20:30
YouTube,Vídeo,2024-04-09,https://youtube.com/watch?v=uZBiNJQxtGw,"Superpelícula, injustamente poco conocida. La vi en el festival de Guadalajara cuando se estrenó, jamás la olvidé.  En su género, es una obra maestra. Saludos desde México a los hermanos de la gran Brasil.",34,,78.0,positivo,0.678,1,2026-03-25 20:30
YouTube,Vídeo,2022-06-20,https://youtube.com/watch?v=uZBiNJQxtGw,One of the best movies ever made. Peace from Sweden,10,,55.0,positivo,0.941,1,2026-03-25 20:30
YouTube,Vídeo,2021-05-06,https://youtube.com/watch?v=uZBiNJQxtGw,Came here from ronaldinho 1 minute interview,7,,12.0,positivo,0.524,1,2026-03-25 20:30
YouTube,Vídeo,2022-04-02,https://youtube.com/watch?v=uZBiNJQxtGw,Quem estiver lendo esse comentário que deus te abençoe e te ilumine sempre amém 🙌♥️😃,15,,56.0,positivo,0.531,1,2026-03-25 20:30
YouTube,Vídeo,2025-10-30,https://youtube.com/watch?v=uZBiNJQxtGw,"Siendo octubre del 2025 me acordé de esa película con lo que paso ahora con las muertes en la fabela, garra y filo vencedores ☠",25,,4.0,negativo,0.667,-1,2026-03-25 20:30
YouTube,Vídeo,2020-07-19,https://youtube.com/watch?v=uZBiNJQxtGw,Excelente película!! Un reflejo de la realidad que vive nuestro sistema político Argentino que está podrido!!,16,,55.0,positivo,0.978,1,2026-03-25 20:30
YouTube,Vídeo,2024-12-01,https://youtube.com/watch?v=uZBiNJQxtGw,"Hace poco vi la película en Prime Video y fue asombroso ya que me quedé en shock por la durísima realidad que muestra de la violencia y corrupción en las Favelas de Brasil y a la vez fue épico y entendí a las personas que la vieron en su tiempo, que buena película se rifaron nuestros hermanos Brasileños aplausos desde México 👏🇲🇽",62,,9.0,negativo,0.814,-1,2026-03-25 20:30
YouTube,Vídeo,2016-06-13,https://youtube.com/watch?v=uZBiNJQxtGw,As for me it is the best movie about spec ops in Favelas!,13,,56.0,positivo,0.947,1,2026-03-25 20:30
YouTube,Vídeo,2025-11-01,https://youtube.com/watch?v=uZBiNJQxtGw,Qué buena película!! La ví hace muchísimos años y tengo ganas de verla de nuevo. Caiños desde Arg 🇦🇷,19,,3.0,positivo,0.99,1,2026-03-25 20:30
YouTube,Vídeo,2024-05-29,https://youtube.com/watch?v=uZBiNJQxtGw,"Tropa de Elite 1 e 2 simplesmente, os melhores filmes nacionais!",11,,11.0,positivo,0.936,1,2026-03-25 20:30
YouTube,Vídeo,2024-07-31,https://youtube.com/watch?v=uZBiNJQxtGw,Esto es 1.000 veses mejor que lo de holliwod o como se escriba me da igual esta película muestra la realidad,21,,1.0,positivo,0.649,1,2026-03-25 20:30
YouTube,Vídeo,2024-12-27,https://youtube.com/watch?v=uZBiNJQxtGw,Assisti mais de 100 vezes e não enjoo. Filmaço!,9,,9.0,positivo,0.569,1,2026-03-25 20:30
YouTube,Vídeo,2020-05-26,https://youtube.com/watch?v=uZBiNJQxtGw,"*Sinopsis*
Brasil, 1997. El capitán Nascimento (Wagner Moura) está al mando de un escuadrón del Batallón de Operaciones Policiales Especiales (BOPE), un cuerpo de élite de la policía de Río de Janeiro. Su misión es actuar en las favelas, en las que la policía, por miedo o por corrupción, no interviene. Nascimento quiere dejar su puesto, ya que está a punto de ser padre, pero antes necesita encontrar un sustituto adecuado. Con ese fin comienza a instruir a dos policías honestos y amigos desde la infancia: Neto, que es un hombre de acción, y Matías, que estudia Derecho porque cree en la ley. Juntos entrarán en el BOPE y cumplirán sus misiones hasta las últimas consecuencias.",116,,41.0,negativo,0.474,-1,2026-03-25 20:30
YouTube,Vídeo,2021-01-29,https://youtube.com/watch?v=uZBiNJQxtGw,Mano assisti o filme! Aprendendo a falar a língua das cobras e dos cobras!,14,,17.0,positivo,0.924,1,2026-03-25 20:30
YouTube,Vídeo,2021-07-08,https://youtube.com/watch?v=uZBiNJQxtGw,who came here because of Ronaldinho interview?,7,,3.0,negativo,0.454,-1,2026-03-25 20:30
YouTube,Vídeo,2021-07-18,https://youtube.com/watch?v=uZBiNJQxtGw,"Large thx for upload.
Greetings from Sweden. (we have a small problem with ”nasty” neighbourhoods right  now).  😳",18,,14.0,negativo,0.52,-1,2026-03-25 20:30
YouTube,Vídeo,2021-09-20,https://youtube.com/watch?v=uZBiNJQxtGw,O melhor filme que já vi na minha vida...,9,,33.0,positivo,0.923,1,2026-03-25 20:30
YouTube,Vídeo,2021-01-05,https://youtube.com/watch?v=uZBiNJQxtGw,beutiful fucking film! peace from sweden,6,,13.0,negativo,0.837,-1,2026-03-25 20:30
YouTube,Vídeo,2024-02-10,https://youtube.com/watch?v=uZBiNJQxtGw,Tropa de elite um filme sensacional Wagner Moura dando um show de talento como sempre ❤,16,,3.0,positivo,0.923,1,2026-03-25 20:30
YouTube,Vídeo,2024-02-10,https://youtube.com/watch?v=uZBiNJQxtGw,Cara esse filme é bom de mais 😎,8,,2.0,positivo,0.476,1,2026-03-25 20:30
YouTube,Vídeo,2024-02-20,https://youtube.com/watch?v=uZBiNJQxtGw,Esse filme é fantástico!!! E o segundo conseguiu ser melhor ainda!! Que venha o 3⁰!,15,,0.0,positivo,0.978,1,2026-03-25 20:30
YouTube,Vídeo,2025-05-31,https://youtube.com/watch?v=uZBiNJQxtGw,"Me: ""Wow that guy looks just like Wagner Moura""",9,,0.0,positivo,0.554,1,2026-03-25 20:30
YouTube,Vídeo,2024-01-29,https://youtube.com/watch?v=uZBiNJQxtGw,"Wagner Moura starred on the best movie about south america, and the best show as well (Narcos)",17,,1.0,positivo,0.916,1,2026-03-25 20:30
YouTube,Vídeo,2021-09-04,https://youtube.com/watch?v=uZBiNJQxtGw,Ronaldinho brought me here 🤙🤙,5,,1.0,positivo,0.622,1,2026-03-25 20:30
YouTube,Vídeo,2023-05-20,https://youtube.com/watch?v=uZBiNJQxtGw,Gotta watch this cause this ronaldnio fav movie lol,9,,2.0,negativo,0.596,-1,2026-03-25 20:30
YouTube,Vídeo,2023-09-15,https://youtube.com/watch?v=uZBiNJQxtGw,❤❤❤❤❤❤ tropa de elite. 1.  2007  eu te amo muita 🎞️🎥,11,,1.0,positivo,0.513,1,2026-03-25 20:30
YouTube,Vídeo,2023-10-07,https://youtube.com/watch?v=uZBiNJQxtGw,❤❤❤❤❤eu te amo muita tropa de elite 3 cinema 🎥🎞️,10,,4.0,positivo,0.608,1,2026-03-25 20:30
YouTube,Vídeo,2023-10-10,https://youtube.com/watch?v=uZBiNJQxtGw,❤❤❤❤❤ adorei 👏😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍❤️😍,3,,2.0,positivo,0.694,1,2026-03-25 20:30
YouTube,Vídeo,2023-09-20,https://youtube.com/watch?v=uZBiNJQxtGw,❤❤❤❤❤❤ Eu te amo muita tropa de elite 1. 2007,10,,2.0,positivo,0.575,1,2026-03-25 20:30
YouTube,Vídeo,2024-02-10,https://youtube.com/watch?v=uZBiNJQxtGw,Esse filme e demais,4,,1.0,positivo,0.441,1,2026-03-25 20:30
YouTube,Vídeo,2025-06-30,https://youtube.com/watch?v=uZBiNJQxtGw,#Sou fã estão no caminho right🚓.,6,,0.0,negativo,0.481,-1,2026-03-25 20:30
YouTube,Vídeo,2024-12-21,https://youtube.com/watch?v=uZBiNJQxtGw,Dnde le encuentro,3,,0.0,positivo,0.481,1,2026-03-25 20:30
YouTube,Vídeo,2013-07-28,https://youtube.com/watch?v=uZBiNJQxtGw,Kickass movie!,2,,25.0,positivo,0.727,1,2026-03-25 20:30
YouTube,Vídeo,2021-06-30,https://youtube.com/watch?v=uZBiNJQxtGw,Top,1,,0.0,positivo,0.694,1,2026-03-25 20:30
