id;nome;emocao
0;ELLEN;Revolta/Indignação
1;EVELLYN;Tristeza/Reflexão
2;GUSTAVO;Entretenimento puro
3;BRUNO;Revolta/Indignação
4;ANA;Tristeza/Reflexão
5;ISABELE;Tristeza/Reflexão
6;RICK;Revolta/Indignação
7;EDUARDA;Tristeza/Reflexão
8;ELAINE;Esperança
9;ENZO;Tristeza/Reflexão
10;KEVIN;Revolta/Indignação
11;LETÍCIA;Revolta/Indignação
12;GABRIEL;Tristeza/Reflexão
13;MARIANA;Tristeza/Reflexão
14;JHONATHAN;Tristeza/Reflexão
15;BRIAN;Revolta/Indignação
16;ANA;Revolta/Indignação
17;BRUNO;Revolta/Indignação
18;SOFIA;Tristeza/Reflexão
19;MARIANA;Tristeza/Reflexão
20;WILLIAM;Revolta/Indignação
21;BÁRBARA;Tristeza/Reflexão
22;CLEIDIR;Tristeza/Reflexão
23;CECÍLIA;Revolta/Indignação
24;CARLOS;Entretenimento puro
25;GRAZIELLA;Tristeza/Reflexão
26;CAROL;Revolta/Indignação
27;ARTUR;Revolta/Indignação
28;RYAN;Tristeza/Reflexão
29;CLAUDIO;Tristeza/Reflexão
30;RUAN;Revolta/Indignação
31;DANIELE;Tristeza/Reflexão
32;XAULIN;Entretenimento puro
33;LAURITA;Tristeza/Reflexão
34;AARON;Tristeza/Reflexão
35;ANTHONY;Entretenimento puro
36;DAYANE;Tristeza/Reflexão
37;RICHARD;Revolta/Indignação
38;ALEX;Tristeza/Reflexão
39;WILLIAM;Revolta/Indignação
40;SILAS;Revolta/Indignação
41;GILCIMAR;Revolta/Indignação
42;ROBSON;Revolta/Indignação
43;RUAN;Tristeza/Reflexão
44;CAROLINA;Revolta/Indignação
45;DJAIR;Revolta/Indignação
46;GABRIEL;Revolta/Indignação
47;CAIO;Tristeza/Reflexão
48;MIGUEL;Entretenimento puro
49;NAYARA;Outros
50;FERNANDA;Tristeza/Reflexão
51;HENZO;Revolta/Indignação
52;GILGIL;Tristeza/Reflexão
