fonte,plataforma,data,url_ref,texto,n_palavras,nota_usuario,likes,sentimento,confianca,sentimento_num,exportado_em
YouTube,Vídeo,2025-10-30,https://youtube.com/watch?v=uZBiNJQxtGw,Buen momento para ver está película,6,,26.0,positivo,0.8,1,2026-03-25 17:42
YouTube,Vídeo,2023-02-21,https://youtube.com/watch?v=uZBiNJQxtGw,"Esse filme é foda demais, voltou para o catálogo da Netflix e já está em top10 filmes assistidos.",18,,88.0,positivo,1.0,1,2026-03-25 17:42
YouTube,Vídeo,2024-04-09,https://youtube.com/watch?v=uZBiNJQxtGw,"Superpelícula, injustamente poco conocida. La vi en el festival de Guadalajara cuando se estrenó, jamás la olvidé.  En su género, es una obra maestra. Saludos desde México a los hermanos de la gran Brasil.",34,,78.0,positivo,1.0,1,2026-03-25 17:42
YouTube,Vídeo,2022-06-20,https://youtube.com/watch?v=uZBiNJQxtGw,One of the best movies ever made. Peace from Sweden,10,,55.0,positivo,1.0,1,2026-03-25 17:42
YouTube,Vídeo,2021-05-06,https://youtube.com/watch?v=uZBiNJQxtGw,Came here from ronaldinho 1 minute interview,7,,12.0,neutro,0.0,0,2026-03-25 17:42
YouTube,Vídeo,2022-04-02,https://youtube.com/watch?v=uZBiNJQxtGw,Quem estiver lendo esse comentário que deus te abençoe e te ilumine sempre amém 🙌♥️😃,15,,56.0,positivo,0.0,1,2026-03-25 17:42
YouTube,Vídeo,2025-10-30,https://youtube.com/watch?v=uZBiNJQxtGw,"Siendo octubre del 2025 me acordé de esa película con lo que paso ahora con las muertes en la fabela, garra y filo vencedores ☠",25,,4.0,negativo,0.8,-1,2026-03-25 17:43
YouTube,Vídeo,2024-12-01,https://youtube.com/watch?v=uZBiNJQxtGw,"Hace poco vi la película en Prime Video y fue asombroso ya que me quedé en shock por la durísima realidad que muestra de la violencia y corrupción en las Favelas de Brasil y a la vez fue épico y entendí a las personas que la vieron en su tiempo, que buena película se rifaron nuestros hermanos Brasileños aplausos desde México 👏🇲🇽",62,,9.0,positivo,0.8,1,2026-03-25 17:43
YouTube,Vídeo,2020-07-19,https://youtube.com/watch?v=uZBiNJQxtGw,Excelente película!! Un reflejo de la realidad que vive nuestro sistema político Argentino que está podrido!!,16,,55.0,negativo,0.8,-1,2026-03-25 17:43
YouTube,Vídeo,2016-06-13,https://youtube.com/watch?v=uZBiNJQxtGw,As for me it is the best movie about spec ops in Favelas!,13,,56.0,positivo,1.0,1,2026-03-25 17:43
