data;nome;idade;Qual seu gênero?;Assistiu;ouviuSobre;interesse;gostou;notaGeral;veridico;nivelVeridico;identificacaoPersonagem;identificacaoSituacao;identificacaoCenario;temaAbordado;Qual foi a sensação geral que o filme despertou em você?;Em poucas palavras, qual sua opinião geral sobre o filme?;O Capitão Nascimento utiliza métodos violentos e tortura para obter informações. Em sua visão, essas ações são: ;Em sua visão, como você enxerga o Capitão Nascimento?;Com base nos temas abordados do filme, numa provável sequência, quais temas devem ser abordados principalmente:;Em poucas palavras, o que você melhoraria num próximo filme? 
23/03/2026;ELLEN;18-25;Feminino;Sim;Filme de ação, e sempre foi muito elogiado pelos mais próximos por ser muito veridico em relacao as criticas;Sim;Sim;9;Sim;6;Moderada;Moderada;Total;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política;Revolta/Indignação;Filme carregado de críticas ao sistema e as formas da sociedade em reagir a ele. Eu gosto, acho punk.;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;Uma peça fundamental que mantém o sistema violento funcionando.;Ação/Operações das forças da Polícia;Acho que acrescentar personagens com diferentes pespectivas iriam deixar o filme mais rico em críticas e em reflexão.
23/03/2026;EVELLYN;18-25;Feminino;Sim;Que é maneiro.;Sim;Sim;8;Sim;10;Pouca;Pouca;Pouca;Violência urbana/criminalidade;Tristeza/Reflexão;Bom.;Justificáveis, pois os fins (combater o crime) justificam os meios.;O único herói capaz de enfrentar o sistema de igual para igual.;Ação/Operações das forças da Polícia;Nada.
23/03/2026;GUSTAVO;18-25;Masculino;Sim;Críticas a violência policial e também a violência nas favelas.;Sim;Sim;9;Sim;10;Total;Muita;Total;Violência urbana/criminalidade, Cultura local/regionalismos, Corrupção/política;Entretenimento puro;Ótimo filme ;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;O único herói capaz de enfrentar o sistema de igual para igual.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Nada
23/03/2026;BRUNO;18-25;Masculino;Sim;MUITO MASSACRE;Sim;Sim;10;Sim;10;Moderada;Muita;Total;Questões sociais/desigualdade, Violência urbana/criminalidade, Corrupção/política, Busca por justiça/redenção;Revolta/Indignação;MUITO BOM;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;O único herói capaz de enfrentar o sistema de igual para igual.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;NÃO MUDAR NADA
23/03/2026;ANA;50+;Feminino;Sim;Sobre a realidade da violência urbana e polícias brasileiras.;Sim;Sim;8;Sim;7;Pouca;Pouca;Pouca;Questões sociais/desigualdade, Violência urbana/criminalidade, Busca por justiça/redenção;Tristeza/Reflexão;Bom filme brasileiro ;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Uma peça fundamental que mantém o sistema violento funcionando.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia;Mostrar alguma iniciativa de sucesso na gestão pública como opção do modelo violento atual
23/03/2026;ISABELE;18-25;Feminino;Sim;"Que era um filme de direita; o puro suco brasileiro. ";Sim;Sim;10;Sim;7;Moderada;Moderada;Total;Violência urbana/criminalidade, Cultura local/regionalismos, Corrupção/política;Tristeza/Reflexão;Eu gosto muito. ;Justificáveis, pois os fins (combater o crime) justificam os meios.;O único herói capaz de enfrentar o sistema de igual para igual.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;tentaria mostrar mais do sistema carcerário 
23/03/2026;RICK;26-35;Masculino;Sim;Sim;Sim;Sim;10;Sim;8;Muita;Total;Moderada;Questões sociais/desigualdade, Violência urbana/criminalidade, Cultura local/regionalismos, Relações familiares/amizade, Corrupção/política, Busca por justiça/redenção;Revolta/Indignação;;Justificáveis, pois os fins (combater o crime) justificam os meios.;O único herói capaz de enfrentar o sistema de igual para igual.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;Menos mentiras e mais verdades
23/03/2026;EDUARDA;18-25;Feminino;Sim;que é muito bom, e traz uma realidade bem marcante para quem assiste sobre o combate ao crime organizado do RJ;Sim;Sim;9;Sim;8;Moderada;Muita;Muita;Violência urbana/criminalidade, Corrupção/política;Tristeza/Reflexão;;Inaceitáveis, pois transformam o policial em um espelho do criminoso que ele combate.;Uma vítima do sistema, forçado a ser violento para sobreviver.;Exposição da realidade nua e crua das comunidades, Ação/Operações das forças da Polícia, Política/Burocracia/Corrupção;acho que trazendo a mesma realidade que esse já traz, sem final feliz ou passada de pano pra algum personagem
23/03/2026;TESTE;26-35;Masculino;Não;;;;;;;;;;;;;;;;
23/03/2026;ELAINE;50+;Feminino;Sim;Que é excelente.;Sim;Sim;10;Sim;10;Moderada;Pouca;Moderada;Violência urbana/criminalidade, Corrupção/política;Esperança;Retrata a realidade da guerra entre narcotraficantes e poder público.;Compreensíveis dentro do contexto da guerra urbana, mas ainda assim ilegais.;O único herói capaz de enfrentar o sistema de igual para igual.;Política/Burocracia/Corrupção;Daria mais espaço ao estrago que as drogas fazem na vida das pessoas, independente da classe social.
